#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA256","79D4215761BA143FBE07CC38FCAC3D8B7A95AB0D1A4011E4D44068F5D56960DB","D:\ForUpload\07-CA-Server_SIT.Tests.ps1"
"SHA256","53AABF9376E2F041750F200C99FD3234F239E1217FF3CC141800DD55AA88AF04","D:\ForUpload\07-CA_Client_SIT.Tests.ps1"
"SHA256","AE5DB316391602692232A02C016CAA68288D230AA7A50350AFE549A162BCDEBD","D:\ForUpload\07-CA_Client_SIT.json"
"SHA256","FCED6E7880F986C877F0987D0037E6C1A6544EE79229A8EDBDFA803557A24FF0","D:\ForUpload\06-GPO-SIT.tests.ps1"
"SHA256","B6A37139D795C696B0EA0AE1004B1DF3DB22BD8EEDBE925FAEEF35FF8E6E43B8","D:\ForUpload\06-GPO-SIT.json"
"SHA256","7C2F60E0D563773F68CB000A13A814C956511F44E07EDA451F92BE0538CDDDB0","D:\ForUpload\06-GPO-Comb.tests.ps1"
"SHA256","CA8BF19C4830EE3B2FD1EBE1349ED0A894457E9B3C20A8EA76523F88E071C208","D:\ForUpload\06-GPO-Comb.json"
"SHA256","394DAD14817EF6DC6E182D0B2066876446C262E83F6146CD1DBA83C14F933383","D:\ForUpload\05-WTS-W2K16-SIT.json"
"SHA256","1553855AFA7453765F4B62722D81D73A02DC742ACB6B06ED79CB21BCCE3C7401","D:\ForUpload\05-WTS-SIT.Tests.ps1"
"SHA256","8F533DE39CB9D048C0016066B95938B72AFCEF85DACCAF68EF0417400CA23CAA","D:\ForUpload\04-WSUS_SIT.Tests.ps1"
"SHA256","44139542DFD3FA03E1099FBAB7B7FFB075546D1ABD5BCFB4D6142F12D49F3895","D:\ForUpload\04-WSUS_SIT.json"
"SHA256","DDDE45FB27BE541A3ABEDF730F272393E79B977B71A7A1BE87D0CD29D31B4F98","D:\ForUpload\03-W2K19-Gen-SIT.json"
"SHA256","171C2E7A1FFFA9DA086E37AE77C6A3B8D94C58B7D7C07841932466CFAB7F2584","D:\ForUpload\HashForUpload060721"
"SHA256","7E8772504115E61CAA6FA767A23C8E3B7133A4072C3FCBBE3DB58AD0C2B3A501","D:\ForUpload\HashForUpload060721.txt"
